,Date,BTC_Price,Gold_Price,BTC_Change,BTC_pct_Change,Gold_Change,Gold_pct_Change
68,5/23/2014,523.6907088,1292.0,75.12922820999995,16.74892549983485,-1.75,-0.1352657004830918
69,5/30/2014,620.8884461,1254.0,97.19773727000006,18.56014163152784,-38.0,-2.941176470588235
70,6/6/2014,649.0739930999999,1254.0,28.185547029999952,4.539550897917724,0.0,0.0
71,6/13/2014,599.619914,1273.0,-49.454079139999976,-7.619174341205665,19.0,1.5151515151515151
72,6/20/2014,590.9810561,1310.0,-8.638857850000022,-1.4407223056544607,37.0,2.9065200314218385
73,6/27/2014,602.0678607000001,1315.25,11.086804529999995,1.875999985924015,5.25,0.40076335877862596
74,7/4/2014,630.8686659,1321.5,28.80080527000007,4.783647683493624,6.25,0.47519482988025097
75,7/11/2014,635.6484709,1336.5,4.779804939999963,0.7576545163925696,15.0,1.1350737797956867
76,7/18/2014,631.4140496,1310.25,-4.23442129,-0.6661577088571947,-26.25,-1.964085297418631
77,7/25/2014,601.8771767000001,1292.5,-29.536872870000025,-4.677892880144081,-17.75,-1.3547033008967753
78,8/1/2014,596.1039271000001,1284.5,-5.77324957999997,-0.9592072607673825,-8.0,-0.6189555125725338
79,8/8/2014,590.1352857999999,1317.5,-5.968641349999984,-1.0012752941649719,33.0,2.5690930323082912
80,8/15/2014,497.7956817,1313.6,-92.33960406,-15.647192480006881,-3.900000000000091,-0.29601518026566154
81,8/22/2014,514.6197374,1281.0,16.824055689999966,3.379711055654594,-32.59999999999991,-2.4817295980511505
82,8/29/2014,508.4683087,1285.75,-6.151428729999964,-1.1953347846391593,4.75,0.3708040593286495
83,9/5/2014,480.58322469999996,1264.0,-27.885084020000022,-5.484134122703178,-21.75,-1.691619677231188
84,9/12/2014,475.12425989999997,1237.25,-5.458964729999991,-1.135904136842994,-26.75,-2.1162974683544302
85,9/19/2014,394.23362579999997,1222.5,-80.89063413999997,-17.025153409387066,-14.75,-1.1921600323297636
86,9/26/2014,403.93676439999996,1222.25,9.703138629999955,2.4612661110045666,-0.25,-0.02044989775051125
87,10/3/2014,359.45026980000006,1207.5,-44.48649463999999,-11.013232406011722,-14.75,-1.2067907547555738
88,10/10/2014,359.65864799999997,1222.25,0.20837821000003487,0.057971360022006584,14.75,1.2215320910973084
89,10/17/2014,382.90239610000003,1238.0,23.243748059999973,6.462724638835869,15.75,1.2886070771118838
90,10/24/2014,357.4566995,1231.75,-25.44569659000001,-6.64547854801429,-6.25,-0.5048465266558966
91,10/31/2014,337.058227,1173.25,-20.39847247,-5.7065576055071165,-58.5,-4.749340369393139
92,11/7/2014,341.9099361,1145.0,4.851709140000025,1.439427597772306,-28.25,-2.407841466013211
93,11/14/2014,399.92908680000005,1154.0,58.019150679999996,16.969132671313538,9.0,0.7860262008733625
