Date,BTC_Price,Gold_Price
7/30/2016,654.2501793,1332.5
8/6/2016,594.1439013,1362.6
8/13/2016,585.3192731,1336.7
8/20/2016,581.8212221,1346.85
8/27/2016,574.8664521,1324.9
9/3/2016,603.5027351,1311.5
9/10/2016,626.2798139,1335.65
9/17/2016,610.0505721,1314.25
9/24/2016,603.7765389,1335.9
10/1/2016,614.7129471,1327.9
10/8/2016,618.315389,1255
10/15/2016,640.0888565,1256.15
10/22/2016,661.1154486,1263.95
10/29/2016,716.1637196,1265.9
11/5/2016,708.5706627,1301.7
11/12/2016,708.5868696,1255.65
11/19/2016,758.2681298,1206.1
11/26/2016,741.0618194,1187.5
12/3/2016,781.2363132,1171.65
12/10/2016,780.3402931,1168.9
12/17/2016,792.6797948,1134.85
12/24/2016,904.0226772,1131
12/31/2016,979.9119424,1159.1
1/7/2017,914.301515,1178
1/14/2017,820.5955186,1196.35
1/21/2017,921.733322,1199.1
1/28/2017,920.7424071,1184.2
2/4/2017,1034.474024,1213.05
2/11/2017,1008.277427,1225.75
2/18/2017,1065.517067,1241.4
2/25/2017,1157.996741,1255.35
3/4/2017,1270.9766,1228.75
3/11/2017,1178.30262,1196.55
3/18/2017,967.790759,1228.75
3/25/2017,966.5075151,1244
4/1/2017,1091.721451,1241.7
4/8/2017,1188.529398,1264.3
4/15/2017,1189.130333,1286.1
4/22/2017,1291.498875,1281.5
4/29/2017,1382.329694,1265.55
5/6/2017,1577.925054,1239.4
5/13/2017,1801.367745,1227.9
5/20/2017,2072.179917,1251.85
5/27/2017,2036.762624,1265
6/3/2017,2527.268161,1260.95
6/10/2017,2849.428967,1274.25
6/17/2017,2630.828779,1256.6
6/24/2017,2544.781712,1256.3
7/1/2017,2380.911297,1243.25
7/8/2017,2550.825803,1220.4
7/15/2017,1976.110911,1218.95
7/22/2017,2830.112936,1247.25
7/29/2017,2711.878709,1259.6
8/5/2017,3258.831835,1269.3
8/12/2017,3873.832301,1288.3
8/19/2017,4149.717126,1295.25
8/26/2017,4337.869258,1287.05
9/2/2017,4586.510608,1318.4
9/9/2017,4327.606945,1350.9
9/16/2017,3691.468039,1325
9/23/2017,3784.394836,1297
9/30/2017,4347.928627,1286.95
10/7/2017,4420.831431,1268.2
10/14/2017,5756.932701,1293.9
10/21/2017,6017.750168,1280.25
10/28/2017,5717.623662,1267.8
11/4/2017,7387.200612,1275.3
11/11/2017,6329.134409,1284.45
11/18/2017,7774.68455,1283.85
11/25/2017,8757.62818,1289.15
12/2/2017,10912.9273,1277.25
12/9/2017,15005.31271,1245.85
12/16/2017,19342.01408,1257.25
12/23/2017,14506.76417,1268.05
12/30/2017,12590.34092,1296.5
1/6/2018,17186.94717,1317.9
1/13/2018,14297.47747,1332.9
1/20/2018,12796.08553,1335.8
1/27/2018,11415.35558,1354.35
2/3/2018,9214.46496,1345
2/10/2018,8567.516801,1316.05
2/17/2018,11098.93871,1358.6
2/24/2018,9690.351177,1328.9
3/3/2018,11445.70326,1316.75
3/10/2018,8783.266922,1319.35
3/17/2018,7869.481913,1320.05
3/24/2018,8539.032653,1342.35
3/31/2018,6929.850032,1323.9
4/7/2018,6887.43426,1325.6
4/14/2018,7999.831564,1340.75
4/21/2018,8909.505544,1340.15
4/28/2018,9321.054292,1317.7
5/5/2018,9850.214124,1309.35
5/12/2018,8470.653127,1324.8
5/19/2018,8275.971648,1287.2
5/26/2018,7363.758257,1303.95
6/2/2018,7708.665389,1299.15
6/9/2018,7501.766756,1299.2
6/16/2018,6487.16683,1300.1
6/23/2018,6168.506313,1269.7
6/30/2018,6390.686078,1250.55
7/7/2018,6763.238664,1254.2
7/14/2018,6248.827377,1240.5
7/21/2018,7410.424287,1224.85
7/28/2018,8234.646413,1219.15
8/4/2018,7028.133168,1207.7
8/11/2018,6235.253048,1211.65
8/18/2018,6404.200388,1176.7
8/25/2018,6733.742585,1189.95
9/1/2018,7197.097256,1206.85
9/8/2018,6167.879386,1200.75
9/15/2018,6528.014135,1206.2
9/22/2018,6720.840721,1207.6
9/29/2018,6614.831591,1183.5
10/6/2018,6588.759658,1201.1
10/13/2018,6288.149144,1218.75
10/20/2018,6529.318072,1228.25
10/27/2018,6471.792389,1236.05
11/3/2018,6382.529546,1235.5
11/10/2018,6388.369187,1219.05
11/17/2018,5587.454441,1215.8
11/24/2018,3882.152425,1222.15
12/1/2018,4205.798471,1220.45
12/8/2018,3466.515522,1241.2
12/15/2018,3240.667556,1239.15
12/22/2018,4061.772567,1257.6
12/29/2018,3830.471612,1277.25
1/5/2019,3863.714103,1290.35
1/12/2019,3663.887238,1292.8
1/19/2019,3732.786518,1285.05
1/26/2019,3598.288149,1282.95
2/2/2019,3536.800782,1320.75
2/9/2019,3662.042691,1311.1
2/16/2019,3632.654904,1318
2/23/2019,4170.197956,1322.25
3/2/2019,3864.845489,1309.95
3/9/2019,3960.458208,1294.1
3/16/2019,4030.121414,1302.65
3/23/2019,4022.731352,1311.1
3/30/2019,4131.774543,1291.15
4/6/2019,5073.999769,1288.9
4/13/2019,5107.93654,1296.15
4/20/2019,5346.089312,1276.5
4/27/2019,5319.845444,1281.5
5/4/2019,5851.014085,1270.05
5/11/2019,7109.991495,1285.4
5/18/2019,7279.233146,1285.8
5/25/2019,8061.633998,1281.5
6/1/2019,8567.655207,1296
6/8/2019,7964.779314,1334.3
6/15/2019,8865.190429,1352.45
6/22/2019,10732.4488,1388.35
6/29/2019,12046.53645,1413.2
7/6/2019,11313.84054,1414.4
7/13/2019,11393.35293,1405.6
7/20/2019,10763.67481,1437.05
7/27/2019,9480.859949,1418.25
8/3/2019,10789.64187,1436.05
8/10/2019,11332.13923,1503.5
8/17/2019,10255.49876,1509.05
8/24/2019,10148.43049,1495.5
8/31/2019,9637.957925,1526.55
9/7/2019,10540.36154,1504.95
9/14/2019,10390.28507,1506.3
9/21/2019,9973.015289,1504.1
9/28/2019,8232.633727,1496.15
10/5/2019,8095.769728,1509.5
10/12/2019,8299.542097,1498.35
10/19/2019,7970.178064,1487.5
10/26/2019,9230.933561,1504.65
11/2/2019,9316.008431,1509.85
11/9/2019,8829.251851,1466.85
11/16/2019,8532.20923,1465.6
11/23/2019,7342.071942,1471.3
11/30/2019,7590.173696,1456.35
12/7/2019,7529.108631,1474.85
12/14/2019,7101.338418,1470.6
12/21/2019,7175.983611,1476.9
12/28/2019,7347.10075,1510.6
1/4/2020,7388.56401,1547.4
1/11/2020,8053.53343,1548.8
1/18/2020,8876.597227,1556.5
1/25/2020,8367.115302,1561.85
2/1/2020,9414.166446,1580.85
2/8/2020,9842.301362,1568.3
2/15/2020,9865.595118,1576.35
2/22/2020,9696.044274,1633.7
3/1/2020,8504.650271,1626.35
3/8/2020,8000.535271,1687
3/15/2020,5382.468456,1588.15
3/22/2020,5840.923332,1504.45
3/29/2020,5908.162174,1621.2
4/5/2020,6795.860066,1609.75
4/12/2020,6930.85277,1662.5
4/19/2020,7157.498007,1693.15
4/26/2020,7717.565261,1727.25
5/3/2020,8935.467007,1673.05
5/10/2020,8745.875141,1688.65
5/17/2020,9693.603807,1734.85
5/24/2020,8754.44107,1732.45
5/31/2020,9449.572629,1725.65
6/7/2020,9782.009289,1709.55
6/14/2020,9360.796352,1735.85
6/21/2020,9318.455372,1728.55
6/28/2020,9163.359026,1762.1
7/5/2020,9155.387742,1774.65
7/12/2020,9355.672237,1805.75
7/19/2020,9277.740621,1802.9
7/26/2020,9946.878302,1893.85
8/2/2020,11075.83037,1952.2
8/9/2020,11681.89616,2061.5
8/16/2020,11922.51358,1948.3
8/23/2020,11646.01482,1932.85
8/30/2020,11759.08674,1955.85
9/6/2020,10289.88438,1937.6
9/13/2020,10343.93728,1944.5
9/20/2020,10932.76024,1954.75
9/27/2020,10779.13891,1870.05
10/4/2020,10689.7791,1906.4
10/11/2020,11384.68633,1912.4
10/18/2020,11525.57042,1908.2
10/25/2020,13027.98285,1910.6
11/1/2020,13823.65362,1875.8
11/8/2020,15463.61975,1947.95
11/15/2020,15947.28507,1878.2
11/22/2020,18491.95721,1867
11/29/2020,18236.89939,1808.05
12/6/2020,19389.85161,1839.3
12/13/2020,19195.84078,1833.65
12/20/2020,23494.71721,1878.95
12/27/2020,26310.70772,1872.55
1/3/2021,33117.84962,1891.1
1/10/2021,38363.10845,1891.3
1/17/2021,35829.89702,1853.85
1/24/2021,32316.99388,1853.6
