Date,Economic Policy Uncertainty,Monetary policy,Government spending,National security,Financial Regulation,"Sovereign debt, currency crises",BTC_Price,BTC_Pct_Change
7/1/2018,93.81899575,62.88610322,56.86361686,164.7023815,57.58902146,67.65482254,6388.326791,-14.82160696
8/1/2018,80.29831288,41.67666292,57.03951386,78.21082371,37.15221423,96.18269993,7721.390253,20.86717705
9/1/2018,58.84760968,20.14998197,32.75508466,64.9993752,60.8040452,28.4056241,7011.730138,-9.190833406
10/1/2018,84.64519171,34.80853867,70.59059311,103.2939147,51.42343119,20.13718948,6599.811059,-5.874713809
11/1/2018,75.27641742,42.64734422,54.4982463,78.71953492,45.45345087,14.40901498,6333.795163,-4.030659276
12/1/2018,120.7333291,151.2098589,55.04975613,140.9279537,62.05881121,7.650616256,4028.007957,-36.40451178
1/1/2019,139.6309716,144.4401632,95.85633287,176.2794721,80.73520773,64.4957266,3798.788196,-5.690648163
2/1/2019,84.20104417,68.14417163,44.25985173,73.04368701,59.28397792,85.12293169,3467.400941,-8.723499118
3/1/2019,93.67759227,55.81151056,81.58233297,72.85159926,71.73626743,70.74923197,3867.141322,11.52853067
4/1/2019,73.17726364,34.84830528,26.11624941,44.40670166,61.73202495,27.39718805,4127.509825,6.732841691
5/1/2019,89.29901671,52.62413314,22.14243623,145.4481323,20.03096135,8.889907878,5479.035375,32.74433272
6/1/2019,133.5200327,146.1601349,64.03001895,182.4207678,54.39837618,60.35613375,8507.938048,55.28167762
7/1/2019,90.09310868,100.7842305,42.12802639,93.46843123,182.9316037,40.59328647,10890.05719,27.99878338
8/1/2019,146.1525158,276.7761709,64.79422274,318.1425372,39.02348793,317.5140785,10084.97211,-7.392845306
9/1/2019,110.312438,128.2930046,46.419353,176.0367478,78.49434948,19.35358201,9609.551315,-4.714150813
10/1/2019,92.53195041,91.94444099,30.69325647,169.2456907,125.6241362,44.96212937,8315.146329,-13.46998361
11/1/2019,74.59380106,65.23653796,42.82694035,104.5373283,106.831809,29.63303047,9197.748189,10.61438759
12/1/2019,114.4408687,91.52631523,61.36425995,142.7010755,65.57430751,20.78744652,7777.982402,-15.43601496
1/1/2020,100.5183563,86.03760439,36.87208419,117.7566367,31.52142813,129.902249,7055.977176,-9.282680121
2/1/2020,106.0078274,97.5869154,50.79585624,111.1410511,168.5485679,31.16802566,9539.162243,35.19264597
3/1/2020,351.3661049,304.0692764,118.6594087,289.2801212,190.2696372,88.37084669,8695.845486,-8.840574627
4/1/2020,503.0122503,204.4861347,198.9810079,232.0819794,438.1710903,111.7609127,6514.816691,-25.08127356
5/1/2020,439.9175958,181.8870754,243.5910003,198.1871769,204.672661,84.49807971,8579.322466,31.68939162
6/1/2020,279.7354162,165.4186975,158.6595224,150.5954336,210.9011508,11.69996143,9170.7569,6.893719588
7/1/2020,331.0946494,116.5011276,145.392634,116.4864959,295.5063674,11.50422745,9209.798882,0.425722581
8/1/2020,276.8476127,91.3675569,95.23973903,103.5221459,151.5990006,81.20108874,11353.47823,23.27607124
9/1/2020,225.1486915,124.0286425,97.9747171,137.8459473,102.9274505,137.0401855,11670.62656,2.793402392
10/1/2020,255.8570274,108.1021296,119.9077854,95.42613501,136.6766475,75.82279652,10784.41102,-7.593555828
11/1/2020,252.1191234,146.8975363,147.8052339,169.0580554,101.6201416,71.2103167,13893.46573,28.82915633
12/1/2020,224.3804537,80.47477727,154.9535374,70.90841011,36.54278839,34.7528455,19531.16868,40.5780894
1/1/2021,208.5327127,71.27962215,118.1869772,125.0256667,79.24422808,12.56044643,33099.05749,69.46787995
