Date,DJIA_Close,DJIA_Change,DJIA_pct_Change,NDAQ_Close,NDAQ_Change,NDAQ_pct_Change,BTC_Price,BTC_Change,BTC_pct_Change
2/1/2013,14009.79,0,0,3179.1,0,0,20.56073352,0,0
2/4/2013,13880.08,-129.71,-0.925852565,3131.17,-47.93,-0.015076594,20.52266187,-0.22420177,-1.080653799
2/5/2013,13979.3,99.22,0.714837378,3171.58,40.41,0.012905719,20.76371547,0.2410536,1.17457278
2/6/2013,13986.52,7.22,0.051647794,3168.48,-3.1,-0.000977431,21.27228065,0.50856518,2.449297577
2/7/2013,13944.05,-42.47,-0.303649514,3165.13,-3.35,-0.001057289,22.14472461,0.87244396,4.101318398
2/8/2013,13992.97,48.92,0.350830641,3193.87,28.74,0.009080196,22.88873466,0.74401005,3.359762034
2/11/2013,13971.24,-21.73,-0.155292265,3192,-1.87,-0.000585497,24.53006161,0.24407746,1.005013668
2/12/2013,14018.7,47.46,0.339697836,3186.49,-5.51,-0.00172619,25.57400168,1.04394007,4.255758043
2/13/2013,13982.91,-35.79,-0.255301847,3196.88,10.39,0.003260641,24.73900093,-0.83500075,-3.265037519
2/14/2013,13973.39,-9.52,-0.06808311,3198.66,1.78,0.000556793,27.56173964,2.82273871,11.4100756
2/15/2013,13981.76,8.37,0.059899566,3192.03,-6.63,-0.002072743,27.50265686,-0.05908278,-0.214365206
2/19/2013,14035.67,53.91,0.385573776,3213.59,21.56,0.006754322,29.62444756,2.64602899,9.807946982
2/20/2013,13927.54,-108.13,-0.770394288,3164.41,-49.18,-0.015303757,30.09512577,0.47067821,1.588816835
2/21/2013,13880.62,-46.92,-0.336886485,3131.49,-32.92,-0.010403203,30.0638832,-0.03124257,-0.103812724
2/22/2013,14000.57,119.95,0.864154483,3161.82,30.33,0.009685485,30.7060545,0.6421713,2.136022468
2/25/2013,13784.17,-216.4,-1.545651356,3116.25,-45.57,-0.014412585,30.63245687,0.64744296,2.15922181
2/26/2013,13900.13,115.96,0.84125486,3129.65,13.4,0.00430004,31.28277008,0.65031321,2.122954789
2/27/2013,14075.37,175.24,1.260707634,3162.26,32.61,0.010419695,31.45770792,0.17493784,0.559214672
2/28/2013,14054.49,-20.88,-0.148344235,3160.19,-2.07,-0.000654595,33.85347654,2.39576862,7.615839737
3/1/2013,14089.66,35.17,0.250240315,3169.74,9.55,0.00302197,34.94444927,1.09097273,3.222631297
3/4/2013,14127.82,38.16,0.270836912,3182.03,12.29,0.00387729,36.95179381,1.85751428,5.292926098
3/5/2013,14253.77,125.95,0.891503431,3224.13,42.1,0.013230548,41.51808646,4.56629265,12.35743161
3/6/2013,14296.24,42.47,0.29795626,3222.37,-1.76,-0.000545884,43.48059461,1.96250815,4.726875242
3/7/2013,14329.49,33.25,0.232578636,3232.09,9.72,0.003016413,44.05149567,0.57090106,1.313001961
3/8/2013,14397.07,67.58,0.471614831,3244.37,12.28,0.003799399,44.24245289,0.19095722,0.433486348
3/11/2013,14447.29,50.22,0.348820975,3252.87,8.5,0.002619923,49.28622477,1.70168866,3.576137962
3/12/2013,14450.06,2.77,0.019173146,3242.32,-10.55,-0.00324329,46.17877266,-3.10745211,-6.304909992
3/13/2013,14455.28,5.22,0.036124417,3245.12,2.8,0.000863579,48.97626457,2.79749191,6.057960723
3/14/2013,14539.14,83.86,0.580134041,3258.93,13.81,0.004255621,46.981351,-1.99491357,-4.07322524
3/15/2013,14514.11,-25.03,-0.172155987,3249.07,-9.86,-0.003025533,46.87486661,-0.10648439,-0.226652465
3/18/2013,14452.06,-62.05,-0.427515018,3237.59,-11.48,-0.003533319,51.38850711,4.10582463,8.683569575
3/19/2013,14455.82,3.76,0.026017052,3229.1,-8.49,-0.002622321,59.40500976,8.01650265,15.59979673
3/20/2013,14511.73,55.91,0.386764639,3254.19,25.09,0.007769967,64.33002158,4.92501182,8.290566469
3/21/2013,14421.49,-90.24,-0.621841779,3222.6,-31.59,-0.009707485,70.81439941,6.48437783,10.07986267
3/22/2013,14512.03,90.54,0.627813076,3245,22.4,0.006950909,70.1402048,-0.67419461,-0.952058643
3/25/2013,14447.75,-64.28,-0.442942855,3235.3,-9.7,-0.002989214,74.39963638,3.18274499,4.469087218
3/26/2013,14559.65,111.9,0.774515063,3252.48,17.18,0.005310172,78.94753324,4.54789686,6.112794472
3/27/2013,14526.16,-33.49,-0.230019266,3256.52,4.04,0.001242129,88.58172584,9.6341926,12.20328515
3/28/2013,14578.54,52.38,0.360590824,3267.52,11,0.003377839,88.02249062,-0.55923522,-0.631321206
4/1/2013,14572.85,-5.69,-0.039029971,3239.17,-28.35,-0.008676305,104.2643875,10.46658281,11.15866501
4/2/2013,14662.01,89.16,0.61182267,3254.86,15.69,0.004843833,117.6211835,13.35679604,12.81050641
4/3/2013,14550.35,-111.66,-0.761559977,3218.6,-36.26,-0.011140264,134.3529484,16.73176494,14.22512888
4/4/2013,14606.11,55.76,0.383221022,3224.98,6.38,0.001982228,133.6135612,-0.73938725,-0.550331986
4/5/2013,14565.25,-40.86,-0.279745942,3203.86,-21.12,-0.006548878,142.0566776,8.44311644,6.319056513
4/8/2013,14613.48,48.23,0.331130602,3222.25,18.39,0.005739951,186.4444209,22.89115419,13.99614612
4/9/2013,14673.46,59.98,0.410442961,3237.86,15.61,0.004844441,229,42.55557908,22.82480692
4/10/2013,14802.24,128.78,0.877638948,3297.25,59.39,0.018342362,162,-67,-29.25764192
4/11/2013,14865.14,62.9,0.424935685,3300.16,2.91,0.000882554,91.30257104,-70.69742896,-43.64038825
4/12/2013,14865.06,-0.08,-0.000538172,3294.95,-5.21,-0.001578711,111.4182494,20.11567836,22.03188599
4/15/2013,14599.2,-265.86,-1.788489249,3216.49,-78.46,-0.023812197,79.86984938,-10.44822751,-11.56825729
4/16/2013,14756.78,157.58,1.079374212,3264.63,48.14,0.014966625,67.81733995,-12.05250943,-15.09018675
4/17/2013,14618.59,-138.19,-0.936450906,3204.67,-59.96,-0.018366553,91.72000355,23.9026636,35.24565195
4/18/2013,14537.14,-81.45,-0.557167278,3166.36,-38.31,-0.011954429,110.3513698,18.63136621,20.31330734
4/19/2013,14547.51,10.37,0.071334527,3206.06,39.7,0.012538056,118.5232337,8.17186395,7.405312655
4/22/2013,14567.17,19.66,0.135143403,3233.55,27.49,0.008574387,125.6141709,7.45532713,6.309580299
4/23/2013,14719.46,152.29,1.045432984,3269.33,35.78,0.011065238,141.2021809,15.58800996,12.40943585
4/24/2013,14676.3,-43.16,-0.293217278,3269.65,0.32,9.79E-05,152.9613535,11.75917258,8.327897279
4/25/2013,14700.8,24.5,0.166935808,3289.99,20.34,0.006220849,141.9070986,-11.05425489,-7.226828633
4/26/2013,14712.55,11.75,0.079927623,3279.26,-10.73,-0.003261408,137.2631168,-4.64398183,-3.272550758
4/29/2013,14818.75,106.2,0.721832721,3307.02,27.76,0.008465324,143.7522931,8.46817323,6.259547121
4/30/2013,14839.8,21.05,0.142049768,3328.79,21.77,0.006582966,139.883753,-3.86854007,-2.691115381
5/1/2013,14700.95,-138.85,-0.93565951,3299.13,-29.66,-0.008910145,116.2394264,-23.64432662,-16.90283976
5/2/2013,14831.58,130.63,0.88858203,3340.62,41.49,0.012576043,106.6480397,-9.59138668,-8.251405721
5/3/2013,14973.96,142.38,0.95997864,3378.63,38.01,0.011378127,98.04223123,-8.60580849,-8.069354592
5/6/2013,14968.89,-5.07,-0.033858779,3392.97,14.34,0.004244324,112.299016,-4.24342234,-3.64109624
5/7/2013,15056.2,87.31,0.583276382,3396.63,3.66,0.001078701,109.9901688,-2.30884719,-2.055981675
5/8/2013,15105.12,48.92,0.324915981,3413.27,16.64,0.004898973,113.3932413,3.40307248,3.093978777
5/9/2013,15082.62,-22.5,-0.148956116,3409.17,-4.1,-0.001201194,112.3572053,-1.03603602,-0.913666466
5/10/2013,15118.49,35.87,0.237823402,3436.58,27.41,0.00804008,117.8848137,5.52760838,4.919674147
5/13/2013,15091.68,-26.81,-0.177332525,3438.79,2.21,0.000643081,117.1768483,2.77294031,2.423816073
5/14/2013,15215.25,123.57,0.818795522,3462.61,23.82,0.006926855,109.832211,-7.34463736,-6.267993606
5/15/2013,15275.69,60.44,0.397233039,3471.62,9.01,0.002602083,108.9331724,-0.89903856,-0.818556371
5/16/2013,15233.22,-42.47,-0.278023448,3465.24,-6.38,-0.001837759,114.2862613,5.35308892,4.914103576
5/17/2013,15354.4,121.18,0.79549826,3498.97,33.73,0.009733814,117.1721265,2.88586519,2.525119955
5/20/2013,15335.28,-19.12,-0.124524566,3496.43,-2.54,-0.000725928,117.1167779,0.05009216,0.042789424
