Date,BTC Price
9/5/2013,122.5704257
9/6/2013,116.9021332
9/7/2013,119.8725423
9/8/2013,118.1496085
9/9/2013,121.6111589
9/10/2013,122.0960993
9/11/2013,126.9586489
9/12/2013,126.5030061
9/13/2013,127.5439415
9/14/2013,124.4987921
9/15/2013,125.2504673
9/16/2013,126.1270713
9/17/2013,126.9960082
9/18/2013,127.0025277
9/19/2013,124.3384861
9/20/2013,122.9406284
9/21/2013,123.4925625
9/22/2013,123.1286531
9/23/2013,122.661842
9/24/2013,123.9698117
9/25/2013,123.4933946
9/26/2013,124.9281597
9/27/2013,126.9030365
9/28/2013,126.7196134
9/29/2013,126.9435641
9/30/2013,126.2021752
10/1/2013,127.5100471
10/2/2013,103.8842395
10/3/2013,117.7708817
10/4/2013,122.0062634
10/5/2013,121.4628134
10/6/2013,122.5380613
10/7/2013,123.5539993
10/8/2013,124.2122687
10/9/2013,125.9595538
10/10/2013,126.6568122
10/11/2013,127.2251253
10/12/2013,127.9432594
10/13/2013,132.7976162
10/14/2013,135.4356625
10/15/2013,143.563539
10/16/2013,137.5894354
10/17/2013,143.9512274
10/18/2013,152.9649801
10/19/2013,166.3036967
10/20/2013,166.7876226
10/21/2013,180.2428703
10/22/2013,190.9189434
10/23/2013,204.0111407
10/24/2013,193.8172706
10/25/2013,187.1162713
10/26/2013,179.5233126
10/27/2013,195.811818
10/28/2013,196.3811418
10/29/2013,204.7015159
10/30/2013,198.1945304
10/31/2013,203.1348501
11/1/2013,202.0365521
11/2/2013,204.9175769
11/3/2013,211.8228431
11/4/2013,226.784593
11/5/2013,242.932833
11/6/2013,263.2888024
11/7/2013,291.0768135
11/8/2013,334.0975163
11/9/2013,339.5147223
11/10/2013,324.0137987
11/11/2013,344.6266784
11/12/2013,355.0251099
11/13/2013,396.3146176
11/14/2013,415.4557972
11/15/2013,412.0282403
11/16/2013,435.187526
11/17/2013,483.7938022
11/18/2013,678.2609193
11/19/2013,536.8772788
11/20/2013,599.8304806
11/21/2013,725.2490684
11/22/2013,800.7826778
11/23/2013,838.2593848
11/24/2013,808.2291434
11/25/2013,818.4843675
11/26/2013,930.693572
11/27/2013,964.8397988
11/28/2013,1016.887912
11/29/2013,1133.55742
11/30/2013,1120.352611
12/1/2013,955.5022878
12/2/2013,1042.471949
12/3/2013,1055.920473
12/4/2013,1135.410915
12/5/2013,1024.445047
12/6/2013,818.3291442
12/7/2013,693.443466
12/8/2013,786.3759429
12/9/2013,899.6971688
12/10/2013,981.2190993
12/11/2013,879.512993
12/12/2013,872.4370998
12/13/2013,885.4320716
12/14/2013,851.0680263
12/15/2013,860.5510094
12/16/2013,690.8216634
12/17/2013,674.642755
12/18/2013,520.2423164
12/19/2013,685.104963
12/20/2013,609.9186307
12/21/2013,595.3172041
12/22/2013,613.913707
12/23/2013,654.9089878
12/24/2013,652.6634945
12/25/2013,679.3976774
12/26/2013,752.8883357
12/27/2013,721.1723081
12/28/2013,713.5378756
12/29/2013,728.3495992
12/30/2013,736.7228313
12/31/2013,730.7582479
1/1/2014,754.5138384
1/2/2014,784.1290351
1/3/2014,808.1743775
1/4/2014,829.0718094
1/5/2014,905.2657903
1/6/2014,919.1554033
1/7/2014,783.0927575
1/8/2014,824.5149613
1/9/2014,825.9612489
1/10/2014,853.0337151
1/11/2014,896.3323615
1/12/2014,843.081985
1/13/2014,824.2439813
1/14/2014,816.4660843
1/15/2014,841.7510641
1/16/2014,813.9800748
1/17/2014,798.1451787
1/18/2014,810.7835064
1/19/2014,841.3022577
1/20/2014,826.6788619
1/21/2014,824.6547561
1/22/2014,818.8438967
1/23/2014,811.5049042
1/24/2014,779.1151439
1/25/2014,806.1213092
1/26/2014,814.8928894
1/27/2014,750.9463413
1/28/2014,785.9789259
1/29/2014,793.1107302
1/30/2014,800.9016243
1/31/2014,803.2089388
2/1/2014,812.7940057
2/2/2014,814.4790259
2/3/2014,807.0037999
2/4/2014,802.7826452
2/5/2014,780.2680179
2/6/2014,763.4019374
2/7/2014,703.4621199
2/8/2014,680.6491942
2/9/2014,688.3890016
2/10/2014,687.7943024
2/11/2014,674.76683
2/12/2014,652.3102339
2/13/2014,605.245001
2/14/2014,668.5433576
2/15/2014,653.9458195
2/16/2014,621.0338749
2/17/2014,631.3780637
2/18/2014,628.1140305
2/19/2014,622.7092581
2/20/2014,561.4048613
2/21/2014,580.4265257
2/22/2014,609.5000922
2/23/2014,608.3308418
2/24/2014,536.0061826
2/25/2014,534.7685349
2/26/2014,584.6375265
2/27/2014,583.5787854
2/28/2014,553.4618596
3/1/2014,568.292731
3/2/2014,566.0796893
3/3/2014,679.4333519
3/4/2014,672.3887489
3/5/2014,669.7731763
3/6/2014,668.3741601
3/7/2014,631.9173464
3/8/2014,618.0092078
3/9/2014,638.8726884
3/10/2014,627.9396448
3/11/2014,632.972702
3/12/2014,635.7250054
3/13/2014,642.6937813
3/14/2014,629.2893456
3/15/2014,636.3017293
3/16/2014,633.8389105
3/17/2014,623.1033688
3/18/2014,614.1818444
3/19/2014,610.5266554
3/20/2014,587.2014742
3/21/2014,570.7579578
3/22/2014,564.308614
3/23/2014,559.3927599
3/24/2014,585.7522045
3/25/2014,584.0205868
3/26/2014,578.9568513
3/27/2014,475.1118094
3/28/2014,502.5032337
3/29/2014,492.6177239
3/30/2014,460.7846132
3/31/2014,456.4149276
4/1/2014,479.9518965
4/2/2014,438.2307794
4/3/2014,448.7715295
4/4/2014,449.2854323
4/5/2014,463.9908985
4/6/2014,457.7067153
4/7/2014,447.0630187
4/8/2014,452.9975515
4/9/2014,441.9998042
4/10/2014,363.8859611
4/11/2014,421.8815969
4/12/2014,423.3573787
4/13/2014,417.3702955
4/14/2014,459.5578679
4/15/2014,519.8398542
4/16/2014,530.4424478
4/17/2014,498.7076725
4/18/2014,481.1044109
4/19/2014,504.1047755
4/20/2014,500.0648061
4/21/2014,495.5612613
4/22/2014,489.1839823
4/23/2014,491.5716403
4/24/2014,502.3214158
4/25/2014,465.1373413
4/26/2014,459.8611966
4/27/2014,430.0303161
4/28/2014,441.8369699
4/29/2014,447.1055355
4/30/2014,449.0348079
5/1/2014,459.9935099
5/2/2014,452.8604922
5/3/2014,439.247984
5/4/2014,435.88796
5/5/2014,432.5202
5/6/2014,429.3070811
5/7/2014,440.3063316
5/8/2014,439.2059748
5/9/2014,453.354869
5/10/2014,456.46588
5/11/2014,438.8477589
5/12/2014,441.6013176
5/13/2014,439.6084955
5/14/2014,446.3080403
5/15/2014,447.0444938
5/16/2014,448.5614806
5/17/2014,449.7361238
5/18/2014,447.6216579
5/19/2014,448.2733288
5/20/2014,490.4017137
5/21/2014,494.771791
5/22/2014,529.2507048
5/23/2014,523.6907088
5/24/2014,528.3314649
5/25/2014,573.9695283
