Date,Economic Policy Uncertainty,Monetary policy,Government spending,National security,Financial Regulation,"Sovereign debt, currency crises"
6/1/2018,100.2010024,29.21049918,46.5127605,155.6047525,56.80443889,92.8799945
7/1/2018,93.81899575,62.88610322,56.86361686,164.7023815,57.58902146,67.65482254
8/1/2018,80.29831288,41.67666292,57.03951386,78.21082371,37.15221423,96.18269993
9/1/2018,58.84760968,20.14998197,32.75508466,64.9993752,60.8040452,28.4056241
10/1/2018,84.64519171,34.80853867,70.59059311,103.2939147,51.42343119,20.13718948
11/1/2018,75.27641742,42.64734422,54.4982463,78.71953492,45.45345087,14.40901498
12/1/2018,120.7333291,151.2098589,55.04975613,140.9279537,62.05881121,7.650616256
1/1/2019,139.6309716,144.4401632,95.85633287,176.2794721,80.73520773,64.4957266
2/1/2019,84.20104417,68.14417163,44.25985173,73.04368701,59.28397792,85.12293169
3/1/2019,93.67759227,55.81151056,81.58233297,72.85159926,71.73626743,70.74923197
4/1/2019,73.17726364,34.84830528,26.11624941,44.40670166,61.73202495,27.39718805
5/1/2019,89.29901671,52.62413314,22.14243623,145.4481323,20.03096135,8.889907878
6/1/2019,133.5200327,146.1601349,64.03001895,182.4207678,54.39837618,60.35613375
7/1/2019,90.09310868,100.7842305,42.12802639,93.46843123,182.9316037,40.59328647
8/1/2019,146.1525158,276.7761709,64.79422274,318.1425372,39.02348793,317.5140785
9/1/2019,110.312438,128.2930046,46.419353,176.0367478,78.49434948,19.35358201
10/1/2019,92.53195041,91.94444099,30.69325647,169.2456907,125.6241362,44.96212937
11/1/2019,74.59380106,65.23653796,42.82694035,104.5373283,106.831809,29.63303047
12/1/2019,114.4408687,91.52631523,61.36425995,142.7010755,65.57430751,20.78744652
1/1/2020,100.5183563,86.03760439,36.87208419,117.7566367,31.52142813,129.902249
2/1/2020,106.0078274,97.5869154,50.79585624,111.1410511,168.5485679,31.16802566
3/1/2020,351.3661049,304.0692764,118.6594087,289.2801212,190.2696372,88.37084669
4/1/2020,503.0122503,204.4861347,198.9810079,232.0819794,438.1710903,111.7609127
5/1/2020,439.9175958,181.8870754,243.5910003,198.1871769,204.672661,84.49807971
6/1/2020,279.7354162,165.4186975,158.6595224,150.5954336,210.9011508,11.69996143
7/1/2020,331.0946494,116.5011276,145.392634,116.4864959,295.5063674,11.50422745
8/1/2020,276.8476127,91.3675569,95.23973903,103.5221459,151.5990006,81.20108874
9/1/2020,225.1486915,124.0286425,97.9747171,137.8459473,102.9274505,137.0401855
10/1/2020,255.8570274,108.1021296,119.9077854,95.42613501,136.6766475,75.82279652
11/1/2020,252.1191234,146.8975363,147.8052339,169.0580554,101.6201416,71.2103167
12/1/2020,224.3804537,80.47477727,154.9535374,70.90841011,36.54278839,34.7528455
1/1/2021,208.5327127,71.27962215,118.1869772,125.0256667,79.24422808,12.56044643
