date,TEU
2013-06-28 00:00:00,57.97593954
2013-06-29 00:00:00,23.71742981
2013-06-30 00:00:00,13.17634989
2013-07-01 00:00:00,46.11722463
2013-07-02 00:00:00,84.32863933
2013-07-03 00:00:00,90.91681427
2013-07-04 00:00:00,47.43485962
2013-07-05 00:00:00,51.38776459
2013-07-06 00:00:00,40.84668467
2013-07-07 00:00:00,32.94087474
2013-07-08 00:00:00,146.2574838
2013-07-09 00:00:00,113.3166091
2013-07-10 00:00:00,57.97593954
2013-07-11 00:00:00,57.97593954
2013-07-12 00:00:00,51.38776459
2013-07-13 00:00:00,22.39979482
2013-07-14 00:00:00,17.12925486
2013-07-15 00:00:00,32.94087474
2013-07-16 00:00:00,89.59917928
2013-07-17 00:00:00,68.51701945
2013-07-18 00:00:00,59.29357453
2013-07-19 00:00:00,38.21141469
2013-07-20 00:00:00,21.08215983
2013-07-21 00:00:00,39.52904968
2013-07-22 00:00:00,94.86971924
2013-07-23 00:00:00,30.30560476
2013-07-24 00:00:00,42.16431966
2013-07-25 00:00:00,34.25850973
2013-07-26 00:00:00,81.69336935
2013-07-27 00:00:00,15.81161987
2013-07-28 00:00:00,23.71742981
2013-07-29 00:00:00,34.25850973
2013-07-30 00:00:00,38.21141469
2013-07-31 00:00:00,94.86971924
2013-08-01 00:00:00,75.1051944
2013-08-02 00:00:00,54.02303457
2013-08-03 00:00:00,25.0350648
2013-08-04 00:00:00,43.48195465
2013-08-05 00:00:00,75.1051944
2013-08-06 00:00:00,72.46992442
2013-08-07 00:00:00,89.59917928
2013-08-08 00:00:00,81.69336935
2013-08-09 00:00:00,73.78755941
2013-08-10 00:00:00,31.62323975
2013-08-11 00:00:00,34.25850973
2013-08-12 00:00:00,83.01100434
2013-08-13 00:00:00,67.19938446
2013-08-14 00:00:00,55.34066956
2013-08-15 00:00:00,55.34066956
2013-08-16 00:00:00,90.91681427
2013-08-17 00:00:00,40.84668467
2013-08-18 00:00:00,26.35269979
2013-08-19 00:00:00,56.65830455
2013-08-20 00:00:00,60.61120952
2013-08-21 00:00:00,63.24647949
2013-08-22 00:00:00,43.48195465
2013-08-23 00:00:00,39.52904968
2013-08-24 00:00:00,36.8937797
2013-08-25 00:00:00,21.08215983
2013-08-26 00:00:00,43.48195465
2013-08-27 00:00:00,96.18735423
2013-08-28 00:00:00,80.37573436
2013-08-29 00:00:00,54.02303457
2013-08-30 00:00:00,73.78755941
2013-08-31 00:00:00,26.35269979
2013-09-01 00:00:00,40.84668467
2013-09-02 00:00:00,71.15228943
2013-09-03 00:00:00,56.65830455
2013-09-04 00:00:00,67.19938446
2013-09-05 00:00:00,60.61120952
2013-09-06 00:00:00,90.91681427
2013-09-07 00:00:00,55.34066956
2013-09-08 00:00:00,44.79958964
2013-09-09 00:00:00,61.9288445
2013-09-10 00:00:00,80.37573436
2013-09-11 00:00:00,56.65830455
2013-09-12 00:00:00,54.02303457
2013-09-13 00:00:00,63.24647949
2013-09-14 00:00:00,36.8937797
2013-09-15 00:00:00,19.76452484
2013-09-16 00:00:00,31.62323975
